,id,x,y,z,visibility,x_px,y_px
0,0,0.5230960845947266,0.11772667616605759,-0.8699198961257935,0.9999959468841553,209,70
1,1,0.5408692955970764,0.0992826521396637,-0.8280656933784485,0.9999836683273315,216,59
2,2,0.5486037135124207,0.09982684254646301,-0.8280168175697327,0.999983549118042,219,59
3,3,0.5578688979148865,0.1005450189113617,-0.8278337121009827,0.9999812841415405,223,60
4,4,0.5071461796760559,0.0989575982093811,-0.8252178430557251,0.9999842643737793,202,59
5,5,0.494279146194458,0.09935471415519714,-0.8253194689750671,0.9999841451644897,197,59
6,6,0.48498955368995667,0.09984400868415833,-0.8253405094146729,0.999982476234436,193,59
7,7,0.5752705335617065,0.11384273320436478,-0.5563629865646362,0.999955415725708,230,68
8,8,0.4707131087779999,0.11198800802230835,-0.5519145727157593,0.9999662637710571,188,67
9,9,0.5428681373596191,0.14090141654014587,-0.7698344588279724,0.9999915361404419,217,84
10,10,0.5022044777870178,0.1421707570552826,-0.768069863319397,0.9999929666519165,200,85
11,11,0.6648200750350952,0.24272659420967102,-0.38126710057258606,0.9999713897705078,265,145
12,12,0.38895663619041443,0.23495785892009735,-0.36399710178375244,0.999970555305481,155,140
13,13,0.6957237720489502,0.3882291316986084,-0.28999799489974976,0.9943267703056335,278,232
14,14,0.34511908888816833,0.38205721974372864,-0.28096216917037964,0.9899857044219971,138,228
15,15,0.6849308609962463,0.5154319405555725,-0.5628100633621216,0.9927976727485657,273,308
16,16,0.3507010340690613,0.5048254132270813,-0.5153936743736267,0.9755905866622925,140,302
17,17,0.6907585859298706,0.5498310327529907,-0.650739312171936,0.9822936654090881,276,329
18,18,0.34132325649261475,0.5445820093154907,-0.5982179641723633,0.9498059153556824,136,326
19,19,0.6725035905838013,0.5461140275001526,-0.7405932545661926,0.9832022786140442,269,327
20,20,0.3645307421684265,0.5422216057777405,-0.6792560815811157,0.9518827795982361,145,324
21,21,0.6655983924865723,0.5360947847366333,-0.6021539568901062,0.9790306687355042,266,321
22,22,0.3748568594455719,0.5305405855178833,-0.5525649189949036,0.9475948214530945,149,317
23,23,0.5971620678901672,0.5027802586555481,0.014229023829102516,0.9998143315315247,238,301
24,24,0.44153448939323425,0.498712956905365,-0.014491595327854156,0.9998857975006104,176,298
25,25,0.6141554117202759,0.7011064291000366,0.10165408998727798,0.9942201375961304,245,419
26,26,0.4083598852157593,0.6998453140258789,0.020149480551481247,0.9970303773880005,163,419
27,27,0.6268335580825806,0.8817793130874634,0.44507330656051636,0.994771420955658,250,528
28,28,0.3898736834526062,0.8713630437850952,0.37931957840919495,0.9949091076850891,155,521
29,29,0.605308473110199,0.9057316780090332,0.45645081996917725,0.9411647319793701,242,542
30,30,0.4063411355018616,0.8932994604110718,0.3922103941440582,0.8925514221191406,162,535
31,31,0.6779512166976929,0.93576979637146,0.12356188148260117,0.9903366565704346,271,560
32,32,0.3614214062690735,0.9356120824813843,0.05431629344820976,0.9887171983718872,144,560
